Date (Day/Month),Date (Day/Week),Time,Duration (min),Distance (km),The location of depature,Destination,Weather,Price (RM)
12/11,Wednesday,15:15,5,1.22,UTMy,Mid Valley Mega Mall,Clear,6
12/11,Wednesday,15:16,18,8.24,UTMy,Sunway Pyramid Mall,Clear,13.3
12/11,Wednesday,15:18,18,6.84,UTMy,KLCC Twin Towers,Clear,16
12/11,Wednesday,15:18,17,5.7,UTMy,1 Mont Kiara,Clear,13.3
12/11,Wednesday,15:28,15,5.35,UTMy,Lalaport Bukit Bintang,Clear,13
12/11,Wednesday,15:30,50,40,UTMy,KLIA,Clear,65
12/11,Wednesday,15:40,20,6.89,UTMy,1 Utama Shopping mall,Clear,16
12/11,Wednesday,15:36,6,0.86,UTMy,Laurel Residence,Clear,6
12/11,Wednesday,15:47,21,11,UTMy,Taylor's University,Clear,14
12/11,Wednesday,15:50,35,13,UTMy,Batu Caves Temple,Clear,34
12/11,Wednesday,22:22,16,8.24,UTMy,Sunway Pyramid Mall,Clear,21.3
12/11,Wednesday,22:25,4,1.22,UTMy,Mid Valley Mega Mall,Clear,10.3
12/11,Wednesday,22:27,16,6.84,UTMy,KLCC Twin Towers,Clear,21.3
12/11,Wednesday,22:34,13,5.7,UTMy,1 Mont Kiara,Clear,15.3
12/11,Wednesday,22:35,13,5.35,UTMy,Lalaport Bukit Bintang,Clear,21.3
12/11,Wednesday,22:37,45,40,UTMy,KLIA,Clear,82.3
12/11,Wednesday,22:38,15,6.89,UTMy,1 Utama Shopping mall,Clear,27.3
12/11,Wednesday,22:40,4,0.86,UTMy,Laurel Residence,Clear,12.3
12/11,Wednesday,22:40,15,11,UTMy,Taylor's University,Clear,26.3
12/11,Wednesday,22:41,21,13,UTMy,Batu Caves Temple,Clear,41.3
13/11,Thursday,14:45,5,1.22,UTMy,Mid Valley Mega Mall,Clear,11.33
13/11,Thursday,14:45,18,8.24,UTMy,Sunway Pyramid Mall,Clear,21.63
13/11,Thursday,14:50,18,6.84,UTMy,KLCC Twin Towers,Clear,25.75
13/11,Thursday,14:50,17,5.7,UTMy,1 Mont Kiara,Clear,18.54
13/11,Thursday,14:52,15,5.35,UTMy,Lalaport Bukit Bintang,Clear,18
13/11,Thursday,14:52,50,40,UTMy,KLIA,Clear,65.5
13/11,Thursday,14:55,20,6.89,UTMy,1 Utama Shopping mall,Clear,14
13/11,Thursday,14:55,6,0.86,UTMy,Laurel Residence,Clear,6
13/11,Thursday,14:55,21,11,UTMy,Taylor's University,Clear,13
